"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-9.124166681E-4,-5.283613499E-2,1.176898696E-1,2.948037493E-1,3.217946755E-1
9.125583339E-3,-9.736786245E-2,1.732106075E-1,2.588094592E-1,3.262893675E-1
1.916258334E-2,-1.533486757E-1,2.080569978E-1,1.726600921E-1,3.108295965E-1
2.920058333E-2,-2.207460587E-1,2.345392567E-1,1.339684814E-1,3.488338278E-1
3.923858334E-2,-2.640868089E-1,2.594606563E-1,9.170071363E-2,3.814062082E-1
4.927658333E-2,-3.008090956E-1,2.335904729E-1,5.545148492E-2,3.848707422E-1
5.931358333E-2,-3.046752746E-1,1.204117485E-1,-3.300226986E-2,3.292645774E-1
6.935158334E-2,-3.350363206E-1,8.142251451E-2,-8.205046892E-2,3.544167624E-1
7.938958333E-2,-3.275395323E-1,4.113114215E-2,-9.378700018E-2,3.431762193E-1
8.942658333E-2,-3.148333135E-1,-8.351468481E-3,-1.228540939E-1,3.380575257E-1
9.946458334E-2,-2.801532216E-1,-2.945660966E-2,-1.101363999E-1,3.024624704E-1
1.095025833E-1,-2.465264326E-1,-5.826744916E-2,-1.032507187E-1,2.735527161E-1
1.195405833E-1,-2.007881047E-1,-8.441517429E-2,-1.077466428E-1,2.430043697E-1
1.295775833E-1,-1.810720610E-1,-9.730475821E-2,-1.092721814E-1,2.327997356E-1
1.396155833E-1,-1.419833878E-1,-1.012577501E-1,-1.129237676E-1,2.077599375E-1
1.496535833E-1,-8.891981442E-2,-1.331085387E-1,-1.308361280E-1,2.067430987E-1
1.596905833E-1,-6.655743051E-2,-1.331970692E-1,-1.362231678E-1,2.018120468E-1
1.697285833E-1,-3.447125489E-2,-1.464968901E-1,-1.409114653E-1,2.061689775E-1
1.797665833E-1,4.405018184E-3,-1.518830346E-1,-1.625584424E-1,2.225154097E-1
1.898046667E-1,2.807639267E-2,-1.475843443E-1,-2.050484043E-1,2.541933725E-1
1.998416667E-1,5.729070833E-2,-1.470029666E-1,-2.435201597E-1,2.901623092E-1
2.098796667E-1,6.547752287E-2,-1.660687086E-1,-2.715207213E-1,3.249455710E-1
2.199176667E-1,5.884014739E-2,-1.808793222E-1,-2.885875744E-1,3.456331584E-1
2.299546667E-1,5.769755577E-2,-1.855799171E-1,-3.235971934E-1,3.774706043E-1
2.399926667E-1,4.261610652E-2,-1.838810451E-1,-3.521356988E-1,3.995346314E-1
2.500306667E-1,3.975933054E-2,-1.726668712E-1,-3.791340476E-1,4.184940607E-1
2.600686667E-1,2.859458389E-2,-1.559371833E-1,-4.138548142E-1,4.431815233E-1
2.701056667E-1,3.585313467E-2,-1.197357190E-1,-4.191629165E-1,4.374010063E-1
2.801436667E-1,3.867889300E-2,-7.162819074E-2,-3.818828237E-1,3.904627326E-1
2.901816667E-1,4.297031075E-2,-1.825221157E-2,-3.048615450E-1,3.084155515E-1
3.002186667E-1,7.107053082E-2,1.556558043E-2,-2.042701399E-1,2.168400279E-1
3.102566667E-1,9.660362223E-2,6.449590327E-2,-8.926242471E-2,1.464915077E-1
3.202946667E-1,1.116250827E-1,9.273303956E-2,1.484608054E-2,1.458765979E-1
3.303326667E-1,1.221992423E-1,1.348892169E-1,1.408062154E-1,2.301176785E-1
3.403696667E-1,1.341317101E-1,1.816284601E-1,2.490691674E-1,3.361780233E-1
3.504076667E-1,1.427595692E-1,2.065282615E-1,3.361593515E-1,4.195680243E-1
3.604456667E-1,1.647038040E-1,2.329188471E-1,4.415700316E-1,5.257020309E-1
3.704826667E-1,1.629082338E-1,2.508895152E-1,4.822070110E-1,5.674577014E-1
3.805206667E-1,1.837254544E-1,2.615593682E-1,5.141988820E-1,6.054492843E-1
3.905586667E-1,1.664713077E-1,2.598398117E-1,5.257237440E-1,6.096022302E-1
4.005966667E-1,1.755620470E-1,2.505744417E-1,5.265318292E-1,6.089707303E-1
4.106336667E-1,1.659575567E-1,2.453109609E-1,4.971875775E-1,5.787182953E-1
4.206716667E-1,1.420092252E-1,2.288620672E-1,4.200516933E-1,4.989868644E-1
4.307096667E-1,1.060046294E-1,2.044542176E-1,3.433596128E-1,4.134420543E-1
4.407466667E-1,8.836244686E-2,1.992506890E-1,2.607016182E-1,3.398147919E-1
4.507846667E-1,5.567857616E-2,1.697570044E-1,1.626672006E-1,2.416157332E-1
4.608226667E-1,1.866756488E-2,1.354897077E-1,6.439480126E-2,1.511708612E-1
4.708606667E-1,-1.507043090E-2,1.116748754E-1,8.550383449E-3,1.130110824E-1
4.808976667E-1,-3.626367317E-2,1.015470959E-1,-7.236864924E-2,1.298618037E-1
4.909356667E-1,-6.309377750E-2,7.378181163E-2,-1.334527570E-1,1.650279335E-1
5.009736667E-1,-8.946305729E-2,5.014173802E-2,-1.654212391E-1,1.946330364E-1
5.110106667E-1,-1.200550500E-1,2.182549987E-2,-1.877406460E-1,2.239109592E-1
5.210486667E-1,-1.378472319E-1,-3.294028938E-3,-1.879932457E-1,2.331398087E-1
5.310866667E-1,-1.647336248E-1,-1.274486532E-2,-1.754766959E-1,2.410221350E-1
5.411246667E-1,-1.750020847E-1,-3.801269414E-2,-1.606849945E-1,2.406041604E-1
5.511616667E-1,-1.968265065E-1,-5.499344693E-2,-1.433380598E-1,2.496212175E-1
5.611996667E-1,-1.929034085E-1,-7.489239888E-2,-1.125296652E-1,2.355494046E-1
5.712376667E-1,-2.023405222E-1,-8.647414338E-2,-8.804912746E-2,2.370065680E-1
5.812746667E-1,-2.024697640E-1,-1.150263167E-1,-6.916729867E-2,2.429180398E-1
5.913126667E-1,-1.945528898E-1,-1.319392783E-1,-7.072675109E-2,2.454813097E-1
6.013506667E-1,-1.879266971E-1,-1.382545453E-1,-5.291554749E-2,2.392296343E-1
6.113886667E-1,-1.799804407E-1,-1.486532702E-1,-6.453571916E-2,2.421892087E-1
6.214256667E-1,-1.874792572E-1,-1.604231488E-1,-1.016871732E-1,2.668788859E-1
6.314636667E-1,-1.599494147E-1,-1.592628602E-1,-1.258800280E-1,2.584458461E-1
6.415016667E-1,-1.464850312E-1,-1.784656098E-1,-1.864834946E-1,2.967893732E-1
6.515386667E-1,-1.490170949E-1,-1.751518831E-1,-2.444019198E-1,3.355839316E-1
6.615766667E-1,-1.281501729E-1,-1.668289563E-1,-2.873345160E-1,3.561116280E-1
6.716146667E-1,-1.317378052E-1,-1.572320492E-1,-3.216986024E-1,3.815321185E-1
6.816526667E-1,-1.284600206E-1,-1.418693306E-1,-3.748649955E-1,4.208950566E-1
6.916896667E-1,-9.839807790E-2,-1.260215306E-1,-3.947291565E-1,4.258811042E-1
7.017276667E-1,-1.112125982E-1,-9.957181508E-2,-4.092822915E-1,4.356544302E-1
7.117656667E-1,-1.017440831E-1,-7.319824124E-2,-4.049068201E-1,4.238624469E-1
7.218026667E-1,-8.803967142E-2,-4.512179375E-2,-3.634950846E-1,3.767169184E-1
7.318406667E-1,-7.835471800E-2,-1.031870937E-2,-3.121483451E-1,3.219977127E-1
7.418786667E-1,-4.763002085E-2,3.963929817E-2,-2.603069311E-1,2.675809994E-1
7.519166667E-1,-2.609908361E-2,6.880510021E-2,-1.710111773E-1,1.861723039E-1
7.619536667E-1,1.113552885E-2,1.031141862E-1,-8.947818696E-2,1.369776673E-1
7.719916667E-1,2.386144554E-2,1.570542573E-1,1.196983516E-2,1.593068902E-1
7.820296667E-1,2.963809261E-2,1.937598246E-1,1.087710750E-1,2.241705443E-1
7.920666667E-1,4.873595774E-2,2.128959890E-1,1.989655459E-1,2.954440457E-1
8.021046667E-1,8.069683850E-2,2.499573412E-1,2.868778485E-1,3.889595764E-1
8.121426667E-1,8.473530935E-2,2.584690051E-1,3.666555047E-1,4.565331953E-1
8.221806667E-1,1.121156824E-1,2.769348045E-1,4.279571289E-1,5.219292254E-1
8.322176667E-1,1.258991959E-1,2.740208628E-1,4.724216956E-1,5.604643604E-1
8.422556667E-1,1.247264820E-1,2.657833420E-1,4.765486604E-1,5.597286002E-1
8.522936667E-1,1.451576767E-1,2.637447102E-1,4.954287350E-1,5.797254995E-1
8.623306667E-1,1.525586621E-1,2.541581453E-1,4.784799957E-1,5.628619853E-1
8.723686667E-1,1.474540062E-1,2.333596906E-1,4.263181543E-1,5.078844336E-1
8.824066667E-1,1.397268194E-1,2.039212622E-1,3.892532390E-1,4.611133801E-1
8.924436667E-1,1.294482548E-1,1.738037710E-1,3.069870079E-1,3.757733685E-1
9.024816667E-1,1.169675740E-1,1.360413742E-1,2.317812896E-1,2.931061839E-1
9.125196667E-1,1.015284762E-1,9.083713470E-2,1.593068057E-1,2.096141094E-1
9.225576667E-1,7.192038707E-2,5.221083010E-2,7.894501269E-2,1.188731588E-1
9.325946667E-1,2.706325293E-2,-2.113026593E-2,-1.857309580E-2,3.903674788E-2
9.426326667E-1,2.003890140E-2,-5.228987714E-2,-8.595173120E-2,1.025840578E-1
9.526706667E-1,-6.449223049E-3,-5.626108674E-2,-1.396730250E-1,1.507164765E-1
9.627076667E-1,-2.937549781E-2,-1.072984355E-1,-1.801901364E-1,2.117648682E-1
9.727456667E-1,-4.565849505E-2,-1.236193117E-1,-2.229326981E-1,2.589699216E-1
9.827836667E-1,-5.739473395E-2,-1.321224789E-1,-2.354299521E-1,2.760032016E-1
9.928216667E-1,-9.601868140E-2,-1.475157492E-1,-2.519594461E-1,3.073500381E-1
1.002858667E0,-1.005928851E-1,-1.599334445E-1,-2.553058076E-1,3.176140592E-1
1.012896667E0,-1.034728581E-1,-1.514854056E-1,-2.661307579E-1,3.232337247E-1
1.022934667E0,-1.084040160E-1,-1.666042953E-1,-2.577902895E-1,3.255215128E-1
1.032971667E0,-1.098409876E-1,-1.614385726E-1,-2.457093573E-1,3.138479625E-1
1.043009667E0,-1.154282031E-1,-1.659619787E-1,-2.355831492E-1,3.104294906E-1
1.053047667E0,-1.210034136E-1,-1.601889861E-1,-2.247283781E-1,3.013389807E-1
1.063085667E0,-1.258942989E-1,-1.560097801E-1,-2.007278967E-1,2.836901734E-1
1.073122667E0,-1.083216617E-1,-1.446132462E-1,-2.158283311E-1,2.814754729E-1
1.083160667E0,-1.144537281E-1,-1.352657228E-1,-2.005764538E-1,2.676329304E-1
1.093198667E0,-1.228495075E-1,-1.202464185E-1,-1.841563028E-1,2.519221040E-1
1.103235667E0,-1.205075149E-1,-1.020504132E-1,-1.891644430E-1,2.464133407E-1
1.113273667E0,-1.106646775E-1,-8.172775744E-2,-2.088526028E-1,2.500909972E-1
1.123311667E0,-1.259215250E-1,-5.770458156E-2,-2.182081479E-1,2.584585943E-1
1.133349667E0,-1.315441344E-1,-4.451318996E-2,-2.158680922E-1,2.566794043E-1
1.143386667E0,-1.544983479E-1,-2.342003558E-2,-2.227718997E-1,2.721131325E-1
1.153424667E0,-1.652397196E-1,2.312975787E-3,-2.137701112E-1,2.701983998E-1
1.163462667E0,-1.685654880E-1,3.245177278E-2,-2.119182980E-1,2.727211146E-1
1.173499667E0,-1.669673526E-1,5.747058330E-2,-1.706696999E-1,2.455791344E-1
1.183537667E0,-1.769073634E-1,7.982794225E-2,-1.401852411E-1,2.394172454E-1
1.193575667E0,-1.556961501E-1,1.192248368E-1,-8.245568097E-2,2.127317376E-1
1.203613667E0,-1.308182392E-1,1.502423058E-1,-4.390089512E-2,2.039937518E-1
1.213650667E0,-1.129089303E-1,2.009157568E-1,3.609720111E-2,2.332778939E-1
1.223688667E0,-8.484242303E-2,2.307372144E-1,9.706261039E-2,2.643086249E-1
1.233726667E0,-5.487487637E-2,2.436317502E-1,1.351098579E-1,2.839407605E-1
1.243763667E0,-3.404345797E-2,2.556947571E-1,1.959068674E-1,3.239108929E-1
1.253801667E0,-2.175180668E-2,2.527295792E-1,2.224245751E-1,3.373693420E-1
1.263839667E0,2.228081524E-3,2.406873482E-1,2.600297731E-1,3.543315493E-1
1.273876667E0,3.706361795E-2,2.379150736E-1,3.004761332E-1,3.850496081E-1
1.283914667E0,6.184567105E-2,2.449655001E-1,3.301320416E-1,4.157164275E-1
1.293952667E0,8.087167025E-2,2.249800459E-1,3.405962187E-1,4.161274231E-1
1.303990667E0,1.165179597E-1,1.967662619E-1,3.586483276E-1,4.253492913E-1
1.314027667E0,1.133967160E-1,1.677759494E-1,3.658702236E-1,4.181729366E-1
1.324065667E0,1.170220993E-1,1.303700866E-1,3.495424587E-1,3.909865236E-1
1.334103667E0,1.368116900E-1,8.761007465E-2,3.030945164E-1,3.438884261E-1
1.344140667E0,1.336769429E-1,7.365525596E-2,2.512349761E-1,2.939619618E-1
1.354178667E0,1.089165610E-1,2.970486050E-2,1.799106395E-1,2.123982915E-1
1.364216667E0,1.045306742E-1,-9.196665231E-3,1.160800946E-1,1.564794838E-1
1.374254667E0,7.352363879E-2,-2.950395383E-2,1.858888328E-2,8.137416871E-2
