"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.739275000E-1,-4.581203928E-2,1.405341737E-4,1.729167849E-1,1.788825793E-1
5.839645000E-1,-8.581359987E-3,4.556049937E-2,5.339092612E-2,7.071060624E-2
5.940025000E-1,7.363611090E-3,4.969539447E-2,4.403070331E-2,6.680237895E-2
6.040405000E-1,3.902074955E-2,8.481397267E-2,-2.446241140E-2,9.651133834E-2
6.140785000E-1,5.888003636E-2,1.051243128E-1,-9.938220084E-2,1.561883532E-1
6.241155000E-1,5.411382013E-2,8.378190257E-2,-5.077897489E-2,1.119205835E-1
6.341535000E-1,3.886732866E-2,1.223735807E-1,-1.115467483E-1,1.700842131E-1
6.441915000E-1,4.773575496E-2,1.157414129E-1,-1.041576219E-1,1.628606372E-1
6.542285000E-1,5.792131683E-2,1.180877543E-1,-1.072051907E-1,1.696836750E-1
6.642665000E-1,8.100617448E-2,1.632052723E-1,-1.769893706E-1,2.540141699E-1
6.743045000E-1,6.253669774E-2,1.410542835E-1,-1.412354010E-1,2.091759737E-1
6.843415000E-1,8.125798848E-2,1.571441399E-1,-1.578783309E-1,2.371132826E-1
6.943795000E-1,5.509887041E-2,1.541064749E-1,-1.432538599E-1,2.175002517E-1
7.044175000E-1,3.855562182E-2,1.339497521E-1,-8.464604795E-2,1.630767472E-1
7.144555000E-1,4.390363143E-2,1.473095800E-1,-1.042090774E-1,1.857072239E-1
7.244925000E-1,6.451871427E-3,1.144937998E-1,-3.982889414E-2,1.213952126E-1
7.345305000E-1,6.690936894E-3,1.227239934E-1,-4.434294462E-2,1.306607972E-1
7.445685000E-1,-2.733222028E-2,1.106994685E-1,-6.760667682E-2,1.325597425E-1
7.546055000E-1,-4.327408274E-2,7.358094150E-2,3.100778461E-3,8.541906120E-2
7.646435000E-1,-4.726001544E-2,7.815170998E-2,-5.300442517E-2,1.055967231E-1
7.746815000E-1,-7.148732310E-2,5.016479798E-2,-2.919105470E-2,9.208182228E-2
7.847195000E-1,-7.710080087E-2,1.992033083E-2,-4.131350219E-2,8.971152958E-2
7.947565000E-1,-6.234936757E-2,1.897063337E-2,-1.043266064E-1,1.230096312E-1
8.047945000E-1,-6.217015497E-2,-1.969258178E-2,-8.604587138E-2,1.079667445E-1
8.148325000E-1,-4.163994128E-2,-1.001470897E-2,-1.454307783E-1,1.516057069E-1
8.248695000E-1,-4.254040335E-2,-5.170435159E-2,-1.606171668E-1,1.740140803E-1
8.349075000E-1,-2.779334404E-2,-6.683520980E-2,-1.307033962E-1,1.494081424E-1
8.449455000E-1,-5.228911426E-3,-5.269123368E-2,-1.905584192E-1,1.977782060E-1
8.549825000E-1,-3.484009999E-2,-8.553878987E-2,-1.720864803E-1,1.953061029E-1
8.650205000E-1,-1.390501230E-2,-8.714242531E-2,-1.694511402E-1,1.910519316E-1
8.750585000E-1,-1.441657286E-2,-1.092950586E-1,-1.492811698E-1,1.855750928E-1
8.850965000E-1,-2.296694489E-2,-1.566716301E-1,-7.087643981E-2,1.734847254E-1
8.951335000E-1,-1.399390825E-2,-1.431148606E-1,-1.004066330E-1,1.753829660E-1
9.051715000E-1,-1.252046472E-2,-1.577157235E-1,-2.502198994E-2,1.601783739E-1
9.152095000E-1,-6.358908692E-3,-1.673102370E-1,2.264275789E-2,1.689551585E-1
9.252465000E-1,-1.190051596E-2,-1.408066174E-1,3.719998598E-2,1.461231150E-1
9.352845000E-1,-2.177585107E-2,-1.444709578E-1,1.264296663E-1,1.932110397E-1
9.453225000E-1,-1.924845377E-2,-1.145397552E-1,1.331644893E-1,1.766992918E-1
9.553595000E-1,-1.993897340E-2,-1.044276353E-1,1.740219086E-1,2.039272379E-1
9.653975000E-1,-1.450805209E-2,-7.675300118E-2,2.237062848E-1,2.369514900E-1
9.754355000E-1,-3.809481326E-2,-2.691540973E-2,2.025896502E-1,2.078899238E-1
9.854735000E-1,-4.625340813E-2,-2.217894578E-2,2.645531791E-1,2.694803666E-1
9.955105000E-1,-3.543151616E-2,1.624813322E-3,2.539211869E-1,2.563864301E-1
1.005548500E0,-5.103876942E-2,3.356371220E-2,2.295266032E-1,2.375161897E-1
1.015586500E0,-5.432877840E-2,4.579899268E-2,2.452556133E-1,2.553418880E-1
