"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.830146667E-1,-1.092957713E-1,-1.210238423E-2,-8.080968976E-2,1.364633258E-1
5.930536667E-1,-1.071586779E-1,-2.519261900E-2,-7.444558024E-2,1.328901603E-1
6.030916667E-1,-9.956331834E-2,-2.905326141E-2,-8.395022929E-2,1.334338314E-1
6.131306667E-1,-9.304583819E-2,-4.204288753E-2,-1.000476140E-1,1.429498425E-1
6.231686667E-1,-8.392063689E-2,-3.884128114E-2,-1.016386414E-1,1.374108141E-1
6.332076667E-1,-7.533510620E-2,-4.893450726E-2,-8.962787569E-2,1.268980706E-1
6.432456667E-1,-5.615919901E-2,-4.700942114E-2,-8.586928546E-2,1.128595388E-1
6.532846667E-1,-3.965865794E-2,-5.334246732E-2,-8.796960533E-2,1.102582397E-1
6.633226667E-1,-2.727588144E-2,-5.828824332E-2,-4.578077495E-2,7.897703700E-2
6.733616667E-1,-2.272423519E-2,-4.409405423E-2,-4.118427873E-2,6.447341543E-2
6.833996667E-1,6.446290305E-3,-4.904840006E-2,-1.893269956E-2,5.296930545E-2
6.934376667E-1,2.566379495E-3,-3.307366071E-2,9.168434143E-4,3.318574903E-2
7.034766667E-1,2.477857218E-2,-3.358912932E-2,9.537393451E-3,4.281552430E-2
7.135146667E-1,3.512181245E-2,-3.385744343E-2,3.043943524E-2,5.750154261E-2
7.235536667E-1,6.609721810E-2,-1.800810859E-2,4.132461190E-2,8.000536084E-2
7.335916667E-1,7.329932498E-2,-1.561051263E-2,1.884382188E-2,7.727592620E-2
7.436306667E-1,9.714469068E-2,-1.276708474E-2,2.601660132E-2,1.013753073E-1
7.536686667E-1,1.079505645E-1,-6.578135882E-3,2.886594951E-2,1.119367647E-1
7.637076667E-1,8.865476196E-2,-1.163678141E-2,3.532653809E-2,9.614076031E-2
7.737456667E-1,8.503978483E-2,-7.408056781E-4,3.034120202E-3,8.509711912E-2
7.837846667E-1,8.894832873E-2,7.946548797E-3,-1.667625904E-2,9.084630117E-2
7.938226667E-1,8.777923278E-2,1.700611509E-2,-1.272997320E-2,9.031308806E-2
8.038616667E-1,7.173589828E-2,1.533030309E-2,-3.243567467E-2,8.020679701E-2
8.138996667E-1,5.537457576E-2,2.373490814E-2,-3.403488815E-2,6.919583164E-2
8.239376667E-1,4.209726663E-2,2.416466022E-2,-5.555556536E-2,7.377351492E-2
8.339766667E-1,4.644033174E-2,2.262565479E-2,-5.763483524E-2,7.739766728E-2
8.440146667E-1,3.132179836E-2,2.508322125E-2,-3.802561283E-2,5.528263988E-2
8.540536667E-1,1.561846118E-2,1.445711279E-2,-4.657541156E-2,5.120755220E-2
8.640916667E-1,-1.518759448E-3,2.959922690E-2,-3.717484295E-2,4.754355700E-2
8.741306667E-1,-8.011891432E-3,2.583921142E-2,-1.310945749E-2,3.006182175E-2
8.841686667E-1,-3.225621996E-2,1.736805774E-2,-3.719998598E-3,3.682324735E-2
8.942076667E-1,-4.830138171E-2,2.068372138E-2,4.776590466E-3,5.276036033E-2
9.042456667E-1,-5.364556323E-2,1.449003993E-2,7.742298245E-3,5.610482059E-2
9.142846667E-1,-5.459552564E-2,2.931850573E-2,3.915880322E-2,7.330523902E-2
9.243226667E-1,-6.883147663E-2,3.466234921E-2,3.136855781E-2,8.320599165E-2
9.343606667E-1,-6.160673920E-2,3.081563048E-2,2.958164871E-2,7.496710837E-2
9.443996667E-1,-6.951198290E-2,1.527661834E-2,4.801324189E-2,8.585197861E-2
9.544376667E-1,-7.903940868E-2,1.612272872E-2,2.394668698E-2,8.414638627E-2
9.644766667E-1,-7.380912909E-2,1.135600543E-2,1.051212430E-2,7.541386579E-2
9.745146667E-1,-8.693141392E-2,1.815935047E-2,3.365072608E-3,8.887157278E-2
9.845536667E-1,-8.985429084E-2,1.317505594E-2,-1.964781404E-2,9.291615725E-2
9.945916667E-1,-8.808016338E-2,-1.123396307E-3,-4.012183964E-2,9.679431397E-2
1.004630667E0,-8.772224983E-2,-4.643420130E-3,-6.135600328E-2,1.071508918E-1
1.014668667E0,-1.006555782E-1,-1.065333456E-2,-7.586762309E-2,1.264948030E-1
1.024707667E0,-1.095738429E-1,-1.506884119E-2,-9.848289907E-2,1.480958420E-1
1.034745667E0,-1.096240559E-1,-8.412955608E-3,-9.671528578E-2,1.464310689E-1
1.044783667E0,-1.096289620E-1,-2.568415057E-2,-9.900388598E-2,1.499331663E-1
1.054822667E0,-1.036436973E-1,-2.802018631E-2,-8.513955295E-2,1.370251448E-1
1.064860667E0,-1.182289555E-1,-3.308173718E-2,-9.718013942E-2,1.565773507E-1
1.074899667E0,-1.187158732E-1,-4.285051592E-2,-7.179679155E-2,1.452046988E-1
1.084937667E0,-1.048126653E-1,-5.975171003E-2,-7.335098147E-2,1.411960628E-1
1.094976667E0,-1.038130838E-1,-5.144663556E-2,-5.363826334E-2,1.276752755E-1
1.105014667E0,-9.789198311E-2,-4.536995323E-2,-3.585512638E-2,1.136963636E-1
