"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.813405000E-1,-1.404238120E-2,-7.521570660E-4,3.687785566E-1,3.690465797E-1
5.913785000E-1,-1.498386078E-2,-1.222114824E-2,4.572654068E-1,4.576740378E-1
6.014165000E-1,-1.498039998E-2,-2.073633857E-2,5.286149383E-1,5.292335600E-1
6.114545000E-1,-1.609306596E-2,-2.405804954E-2,5.782943368E-1,5.790182350E-1
6.214925000E-1,-1.895117015E-2,-2.639896981E-2,6.048553586E-1,6.057277089E-1
6.315295000E-1,-1.599965245E-2,-3.041156940E-2,6.067994833E-1,6.077717214E-1
6.415675000E-1,-7.634397130E-3,-3.941412270E-2,5.816078186E-1,5.829917767E-1
6.516055000E-1,1.683470793E-3,-5.260688812E-2,5.311015248E-1,5.337032400E-1
6.616435000E-1,1.435239520E-2,-6.894085556E-2,4.521870017E-1,4.576373207E-1
6.716805000E-1,2.471421845E-2,-8.056906611E-2,3.543539941E-1,3.642374502E-1
6.817185000E-1,2.932175249E-2,-7.703158259E-2,2.415821552E-1,2.552558865E-1
6.917565000E-1,1.805607788E-2,-6.318451464E-2,1.165450066E-1,1.337947810E-1
7.017945000E-1,-1.502976287E-3,-2.568161860E-2,-1.510490011E-2,2.983223892E-2
7.118325000E-1,-2.776000649E-2,1.073121466E-2,-1.514975578E-1,1.543932866E-1
7.218695000E-1,-4.925118387E-2,4.467027262E-2,-2.776904106E-1,2.855399736E-1
7.319075000E-1,-6.228812039E-2,6.449042261E-2,-3.925828338E-1,4.026910800E-1
7.419455000E-1,-6.379812956E-2,6.984844059E-2,-4.838000834E-1,4.929619931E-1
7.519835000E-1,-5.482339114E-2,6.119652092E-2,-5.501586795E-1,5.562600031E-1
7.620215000E-1,-4.216911644E-2,5.319718271E-2,-5.911815166E-1,5.950661814E-1
7.720585000E-1,-2.932678349E-2,3.947189078E-2,-6.019544601E-1,6.039596530E-1
7.820965000E-1,-2.038681880E-2,3.495170921E-2,-5.847086310E-1,5.861070103E-1
7.921345000E-1,-1.874339208E-2,3.564659879E-2,-5.377164483E-1,5.392225640E-1
8.021726250E-1,-2.235171199E-2,4.389174283E-2,-4.624121189E-1,4.650280119E-1
8.122106250E-1,-2.887749486E-2,5.127686635E-2,-3.587513268E-1,3.635460648E-1
8.222476250E-1,-3.122081049E-2,5.639359728E-2,-2.285384685E-1,2.374548555E-1
