"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.063333273E-4,-1.696808992E-1,-9.188123728E-2,-5.304594040E-3,1.930334376E-1
1.094433333E-2,-1.740322692E-1,-9.699872956E-2,-3.298999071E-2,2.019512905E-1
2.098233333E-2,-1.663865048E-1,-1.284971686E-1,-8.612714767E-2,2.271868766E-1
3.102033332E-2,-1.270213954E-1,-1.239561479E-1,-9.121539474E-2,1.995490158E-1
4.105833333E-2,-6.543582492E-2,-1.095289472E-1,-6.651500165E-2,1.438842692E-1
5.109533333E-2,-1.338350918E-2,-1.298695741E-1,-7.100449383E-2,1.486164955E-1
6.113333332E-2,6.114170283E-2,-9.051413999E-2,-4.705254436E-2,1.189330034E-1
7.117133333E-2,8.077088800E-2,-9.442082008E-2,5.791082382E-3,1.243895665E-1
8.120933332E-2,1.057386542E-1,-8.384976681E-2,4.148599505E-3,1.350135447E-1
9.124733333E-2,1.347255223E-1,-6.412140738E-2,-1.156462312E-2,1.496538063E-1
1.012853333E-1,1.365534167E-1,-5.477859830E-2,-5.961411774E-2,1.587494046E-1
1.113233333E-1,1.593143523E-1,-4.144246071E-2,-6.545548618E-2,1.771523668E-1
1.213613333E-1,1.590374866E-1,-3.130832235E-2,-1.052849650E-1,1.932823248E-1
1.313993333E-1,1.640787550E-1,-6.338043725E-3,-1.469224030E-1,2.203365633E-1
1.414373333E-1,1.369964986E-1,1.075503957E-3,-1.923125839E-1,2.361214248E-1
1.514750417E-1,4.628147020E-2,5.134823788E-3,-2.145103687E-1,2.195063534E-1
1.615130417E-1,-3.240970938E-2,1.132113227E-2,-2.075241154E-1,2.103445169E-1
1.715500417E-1,-2.797770264E-2,1.808245959E-2,-1.944023788E-1,1.972359300E-1
1.815880417E-1,-5.465124778E-2,3.456421648E-2,-1.559826636E-1,1.688550719E-1
1.916260417E-1,-8.342751562E-2,4.736622920E-2,-9.405714154E-2,1.343519851E-1
2.016640417E-1,-1.095776801E-1,5.579024884E-2,-2.778187573E-2,1.260620977E-1
2.117020417E-1,-1.330468689E-1,6.988398459E-2,2.698080719E-2,1.526866221E-1
2.217400417E-1,-1.175407930E-1,6.734907042E-2,1.046598977E-1,1.711882867E-1
2.317780417E-1,-9.250471492E-2,3.225897912E-2,1.247240335E-1,1.585996486E-1
2.418160417E-1,-8.381003316E-2,3.613930106E-2,1.618696404E-1,1.858277461E-1
