"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.845926250E-1,-7.404270709E-2,-1.001210331E-1,-4.252679944E-2,1.315867486E-1
5.946306250E-1,-7.694901081E-2,-1.008940167E-1,-3.501605093E-2,1.316315946E-1
6.046686250E-1,-9.565454604E-2,-1.084605148E-1,-2.869462609E-2,1.474342464E-1
6.147066250E-1,-1.103422949E-1,-9.628673969E-2,-1.323575735E-2,1.470433391E-1
6.247446250E-1,-1.191839246E-1,-9.433113841E-2,4.303550720E-4,1.519978840E-1
6.347816250E-1,-1.356546357E-1,-9.998528631E-2,1.993432760E-2,1.696956543E-1
6.448196250E-1,-1.246574118E-1,-7.975717267E-2,3.583875418E-2,1.522665203E-1
6.548576250E-1,-1.257613295E-1,-6.211954001E-2,4.799394608E-2,1.482503562E-1
6.648956250E-1,-1.283758206E-1,-6.010537522E-2,6.208515108E-2,1.547500354E-1
6.749336250E-1,-1.126871381E-1,-3.554982863E-2,6.763591290E-2,1.361499104E-1
6.849716250E-1,-9.868788052E-2,-2.851169961E-2,8.006183088E-2,1.302386714E-1
6.950096250E-1,-7.601692809E-2,-3.729271917E-2,7.496539772E-2,1.130890406E-1
7.050476250E-1,-5.075640829E-2,-3.274495583E-2,6.028186977E-2,8.533667991E-2
7.150856250E-1,-3.994011914E-2,7.376627997E-5,7.867019355E-2,8.822821494E-2
7.251236250E-1,-2.556821125E-2,1.758261401E-2,7.324807048E-2,7.954974274E-2
7.351616250E-1,-9.689731691E-3,3.007522680E-2,6.393345594E-2,7.131547487E-2
7.451996250E-1,-7.214477398E-3,3.924351476E-2,5.641393661E-2,6.909872922E-2
7.552376250E-1,-6.512975972E-3,2.158142795E-1,3.210296810E-2,2.182861028E-1
7.652756250E-1,-4.855343325E-2,1.926916297E0,1.701586533E-1,1.935023984E0
7.753136250E-1,-2.258621897E-1,4.544056056E0,4.953041893E-1,4.576547324E0
