"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.824324583E-1,-6.823171861E-3,2.716723830E-2,-3.023479134E-3,2.817367454E-2
5.924704583E-1,-4.805537872E-3,2.360780723E-2,3.103851806E-3,2.429106117E-2
6.025084583E-1,-9.215837345E-4,1.471950859E-2,7.811521180E-3,1.668931133E-2
6.125454583E-1,2.015021164E-3,7.216833532E-3,1.265504397E-2,1.470690771E-2
6.225834583E-1,7.774373516E-3,-1.607817132E-3,1.764980331E-2,1.935307512E-2
6.326214583E-1,1.129017584E-2,-1.251864620E-2,2.005036175E-2,2.619544959E-2
6.426594583E-1,1.334507205E-2,-1.906762458E-2,2.185411751E-2,3.192597230E-2
6.526974583E-1,1.435097307E-2,-2.909398265E-2,2.087506279E-2,3.857691669E-2
6.627354583E-1,1.232830063E-2,-3.368820623E-2,1.789152250E-2,4.008726496E-2
6.727724583E-1,9.473988786E-3,-3.554414213E-2,1.713568531E-2,4.058046592E-2
6.828104583E-1,5.738905165E-3,-3.611459583E-2,1.340885833E-2,3.894863985E-2
6.928484583E-1,1.422022004E-3,-3.384625167E-2,8.150462061E-3,3.484280313E-2
7.028864583E-1,-2.824654337E-3,-2.946828306E-2,3.185264766E-3,2.977422191E-2
7.129244583E-1,-9.616042487E-3,-2.403683215E-2,-4.123948514E-3,2.621534902E-2
7.229614583E-1,-1.545688696E-2,-1.463880297E-2,-8.044920862E-3,2.275808996E-2
7.329994583E-1,-1.894701459E-2,-6.810696796E-3,-1.110326964E-2,2.299255421E-2
7.430374583E-1,-2.000375651E-2,2.175607486E-3,-1.436191425E-2,2.472141022E-2
7.530754583E-1,-2.198570222E-2,1.074010972E-2,-1.758073084E-2,3.012977191E-2
7.631127083E-1,-2.101045474E-2,1.966010034E-2,-1.895944960E-2,3.445895360E-2
7.731497083E-1,-1.792491786E-2,2.680620924E-2,-1.832941175E-2,3.709235594E-2
7.831877083E-1,-1.309287827E-2,3.096793033E-2,-1.539460849E-2,3.697877961E-2
7.932257083E-1,-8.108937182E-3,3.382189944E-2,-1.274927519E-2,3.704348475E-2
