"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.700475833E-1,1.965366118E-2,-4.166007042E-3,1.438004617E-2,2.470643115E-2
6.800845833E-1,8.643391542E-3,1.266641542E-2,1.305664517E-2,2.014006654E-2
6.901225833E-1,-4.518216942E-3,2.757825330E-2,7.492236327E-3,2.893281778E-2
7.001605833E-1,-1.660602540E-2,3.920523077E-2,2.458737930E-3,4.264804323E-2
7.101985833E-1,-2.808504738E-2,4.898249358E-2,-1.252377057E-3,5.647674753E-2
7.202355833E-1,-3.418047354E-2,5.637644976E-2,-5.195017904E-3,6.613317677E-2
7.302735833E-1,-4.039948434E-2,5.617751181E-2,-1.004996058E-2,6.992161951E-2
7.403115833E-1,-3.907902539E-2,5.345844477E-2,-1.270036865E-2,6.742606993E-2
7.503485833E-1,-3.511038050E-2,4.917848110E-2,-1.581387036E-2,6.246071019E-2
7.603865833E-1,-2.683736570E-2,3.743042424E-2,-1.967319474E-2,5.008308545E-2
7.704245833E-1,-1.753494516E-2,2.382832952E-2,-1.874827780E-2,3.502515539E-2
7.804625833E-1,-3.724956885E-3,9.841018356E-3,-1.624332368E-2,1.935372084E-2
7.904995833E-1,9.001225233E-3,-6.263649557E-3,-1.410959847E-2,1.786997847E-2
8.005375833E-1,1.949364878E-2,-2.111163922E-2,-1.135786157E-2,3.089829563E-2
8.105755833E-1,3.098492138E-2,-3.514756262E-2,-7.592418231E-3,4.746642314E-2
8.206125833E-1,3.678813577E-2,-4.527261108E-2,-4.368532449E-3,5.849837881E-2
8.306505833E-1,3.994425014E-2,-5.217765272E-2,1.860053744E-4,6.571213860E-2
8.406885833E-1,3.936898708E-2,-5.505781993E-2,6.560525391E-3,6.800236153E-2
8.507265833E-1,3.508928418E-2,-5.399468541E-2,8.725142106E-3,6.498316722E-2
8.607635833E-1,2.586175129E-2,-4.715296254E-2,1.448216569E-2,5.569528866E-2
8.708015833E-1,1.428179443E-2,-3.894802928E-2,1.599297673E-2,4.446002633E-2
8.808395833E-1,1.672666986E-3,-2.855919488E-2,1.749455184E-2,3.353333820E-2
8.908775833E-1,-9.331781417E-3,-1.455655880E-2,1.658721268E-2,2.396061713E-2
