"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.820989167E-1,3.155702088E-2,-7.085582837E-3,-9.738245308E-2,1.026128317E-1
5.921369167E-1,2.590684269E-2,-5.761225037E-3,-7.280952930E-2,7.749570162E-2
6.021749167E-1,5.756355403E-2,-2.770681210E-2,-6.276050448E-2,8.955507307E-2
6.122119167E-1,6.723884127E-2,-3.791438783E-2,-3.355249286E-2,8.416847603E-2
6.222499167E-1,5.373988613E-2,-3.109600447E-2,-8.426714838E-2,1.046703833E-1
6.322879167E-1,1.996559650E-2,-2.263859175E-2,-1.311062694E-1,1.345361838E-1
6.423259167E-1,1.586214275E-4,-7.625152934E-3,-1.688032687E-1,1.689754764E-1
6.523639167E-1,-2.886245489E-2,1.632750917E-2,-2.307439935E-1,2.331146057E-1
6.624019167E-1,-4.610206118E-2,1.184700709E-2,-2.398463541E-1,2.445240790E-1
6.724399167E-1,-5.866703326E-2,-8.724667020E-3,-2.221585268E-1,2.299398870E-1
6.824779167E-1,-7.289463370E-2,-1.915443694E-2,-1.742423487E-1,1.898444525E-1
6.925159167E-1,-8.946813706E-2,-4.052420117E-2,-1.216945910E-1,1.563852036E-1
7.025539167E-1,-8.961136644E-2,-7.866184300E-2,-5.074447632E-2,1.295873621E-1
7.125909167E-1,-9.237259526E-2,-9.653944904E-2,-8.985416293E-3,1.339152690E-1
7.226289167E-1,-9.315793114E-2,-1.105514243E-1,2.528803825E-2,1.467634233E-1
7.326669167E-1,-1.041744509E-1,-1.076514063E-1,5.268107414E-2,1.587968421E-1
7.427049167E-1,-1.096881194E-1,-1.044309061E-1,4.894236445E-2,1.591623471E-1
7.527429167E-1,-1.599057433E-1,-8.302993236E-2,1.870933592E-2,1.811459513E-1
7.627809167E-1,-2.164365146E-1,-4.319926579E-2,-1.646809816E-2,2.213190902E-1
7.728189167E-1,-2.617709278E-1,-2.354282711E-2,-3.488975108E-2,2.651331327E-1
7.828569167E-1,-2.797445378E-1,-8.044763748E-3,-5.855869532E-2,2.859210476E-1
7.928949167E-1,-2.892739278E-1,3.509054812E-2,-2.025709391E-2,2.920977606E-1
8.029319167E-1,-2.979586145E-1,4.763388550E-2,-2.012494683E-2,3.024125270E-1
8.129699167E-1,-2.901325184E-1,6.565292107E-2,-1.279429257E-2,2.977429734E-1
8.230079167E-1,-2.818186548E-1,7.897317069E-2,1.236452222E-2,2.929358245E-1
8.330459167E-1,-2.480090124E-1,7.932239564E-2,2.975531101E-2,2.620799328E-1
8.430839167E-1,-2.254802386E-1,9.851944417E-2,4.191401124E-2,2.496080993E-1
8.531219167E-1,-2.051831644E-1,1.298128287E-1,1.365675688E-2,2.431830760E-1
8.631599167E-1,-1.910222131E-1,1.234426162E-1,-1.565884352E-2,2.279753600E-1
8.731979167E-1,-1.784651347E-1,1.606443746E-1,-7.103080630E-2,2.504032644E-1
8.832359167E-1,-1.452963014E-1,1.736821854E-1,-8.779711246E-2,2.428679676E-1
8.932729167E-1,-1.188525610E-1,1.781637290E-1,-1.111660945E-1,2.413009452E-1
9.033109167E-1,-4.764204876E-2,1.724806922E-1,-7.767031968E-2,1.950693019E-1
9.133489167E-1,6.309737263E-2,1.333864459E-1,2.930215180E-2,1.504388198E-1
9.233869167E-1,1.375665108E-1,9.107677918E-2,9.240179479E-2,1.890968436E-1
9.334249167E-1,1.648166005E-1,6.810794765E-2,8.694458842E-2,1.984000146E-1
9.434629167E-1,1.469447046E-1,4.154919980E-2,5.575670958E-2,1.625665798E-1
9.535009167E-1,1.252379855E-1,3.684902513E-2,9.173696637E-3,1.308684850E-1
9.635389167E-1,1.125489702E-1,2.509571968E-2,-1.328311980E-2,1.160754371E-1
9.735769167E-1,1.366332677E-1,6.537863184E-3,-3.407114089E-2,1.409689191E-1
9.836139167E-1,1.350958611E-1,-1.628243079E-2,-2.400749803E-2,1.381751396E-1
9.936519167E-1,1.416806482E-1,-4.556249108E-2,-1.123951793E-2,1.492503717E-1
1.003689917E0,1.479658203E-1,-5.096747451E-2,3.207022369E-2,1.597500131E-1
1.013727917E0,1.447184595E-1,-7.638290897E-2,9.484885454E-2,1.891403884E-1
1.023765917E0,1.617479817E-1,-8.620672463E-2,1.562896425E-1,2.408743683E-1
1.033803917E0,1.849272216E-1,-6.770112762E-2,1.692400557E-1,2.596607718E-1
1.043841917E0,1.931733123E-1,-5.449689042E-2,1.399782497E-1,2.447033920E-1
1.053879917E0,1.696129984E-1,-5.047957918E-2,4.364654124E-2,1.822684221E-1
1.063917917E0,1.322662930E-1,-6.626053814E-2,-3.913541436E-3,1.479869825E-1
1.073955917E0,1.128350361E-1,-1.221954964E-1,-3.982655525E-2,1.710252590E-1
1.083992917E0,6.927962917E-2,-1.376435113E-1,-6.319846094E-2,1.665516397E-1
1.094030917E0,3.465559750E-2,-1.522197794E-1,-8.016064882E-2,1.754924536E-1
1.104068917E0,-3.540685507E-3,-1.687754030E-1,-9.070727170E-2,1.916389372E-1
1.114106917E0,-3.683762306E-2,-1.574370672E-1,-7.371818662E-2,1.777014677E-1
1.124144917E0,-4.515160541E-2,-1.301693261E-1,-5.717933714E-2,1.491717049E-1
1.134182917E0,-6.054768967E-2,-8.128521457E-2,-4.108078301E-2,1.093660805E-1
1.144220917E0,-9.492773714E-2,-6.035413770E-2,-4.607255101E-2,1.215589453E-1
1.154258917E0,-1.522754375E-1,-5.122603107E-2,-7.994254768E-2,1.794511802E-1
1.164296917E0,-1.845504234E-1,-3.544108870E-2,-1.223325223E-1,2.242324142E-1
1.174333917E0,-2.152346377E-1,-2.092497384E-2,-1.308770585E-1,2.527698721E-1
