"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.914591667E-1,1.644708473E-2,8.309426087E-2,8.338129520E-4,8.471043637E-2
6.014971667E-1,1.597905166E-2,1.150883885E-1,6.772245169E-3,1.163895638E-1
6.115351667E-1,3.044510887E-2,1.397905084E-1,3.747480512E-3,1.431165067E-1
6.215741667E-1,3.546056723E-2,1.496396315E-1,1.271243155E-2,1.543083830E-1
6.316121667E-1,3.959165250E-2,1.755981901E-1,-2.276437998E-2,1.814399082E-1
6.416501667E-1,5.196098040E-2,1.864955911E-1,-2.319531977E-2,1.949835168E-1
6.516881667E-1,5.408753964E-2,2.045642549E-1,-4.727181494E-2,2.168101031E-1
6.617261667E-1,4.432627092E-2,1.967588067E-1,-7.043614447E-2,2.136354295E-1
6.717641667E-1,3.180333484E-2,2.038339011E-1,-7.428887486E-2,2.192682108E-1
6.818021667E-1,2.625864408E-2,1.859101751E-1,-1.048160183E-1,2.150314101E-1
6.918401667E-1,1.538590189E-2,1.758905874E-1,-1.046692532E-1,2.052556389E-1
7.018791667E-1,2.297001011E-3,1.754804600E-1,-1.093259758E-1,2.067627555E-1
7.119171667E-1,9.995129937E-3,1.473253492E-1,-9.432903707E-2,1.752216550E-1
7.219551667E-1,-2.665951182E-3,1.324161918E-1,-1.001382458E-1,1.660386203E-1
7.319931667E-1,-1.384738524E-2,1.101116954E-1,-6.879366159E-2,1.305714495E-1
7.420311667E-1,5.288856807E-3,1.013832642E-1,-4.985336065E-2,1.131012636E-1
7.520691667E-1,1.873287553E-2,6.481035557E-2,-4.645554364E-2,8.191105145E-2
7.621071667E-1,2.399700045E-2,6.066151852E-2,-2.253809273E-2,6.901913853E-2
7.721461667E-1,4.043472050E-2,4.208580974E-2,4.338049293E-3,5.852350532E-2
7.821841667E-1,4.531100599E-2,1.795457002E-2,3.428690314E-2,5.959065007E-2
