"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.925635000E-1,4.694042355E-2,2.906227298E-2,-9.851305746E-3,5.608089959E-2
6.026015000E-1,1.865126006E-2,4.193546250E-2,-1.012561098E-2,4.699979271E-2
6.126385000E-1,-7.725310978E-3,5.707083270E-2,-1.034512091E-2,5.851309171E-2
6.226765000E-1,-3.806350753E-2,6.345789135E-2,-7.392474450E-3,7.436654663E-2
6.327135000E-1,-6.187226996E-2,6.750553101E-2,-6.445310079E-3,9.179714881E-2
6.427515000E-1,-8.157593012E-2,6.747943163E-2,-2.991456306E-3,1.059105985E-1
6.527895000E-1,-9.188732505E-2,5.856007338E-2,6.875561085E-4,1.089634592E-1
6.628265000E-1,-9.286763519E-2,4.842301831E-2,2.495309804E-3,1.047636050E-1
6.728645000E-1,-9.010937810E-2,3.255068138E-2,6.158531643E-3,9.600611643E-2
6.829025000E-1,-7.372827083E-2,1.230293419E-2,9.840884246E-3,7.539272586E-2
6.929395000E-1,-5.262749270E-2,-6.414724048E-3,1.026250608E-2,5.400111761E-2
7.029775000E-1,-2.807101421E-2,-2.617963962E-2,1.204069890E-2,4.022851973E-2
7.130155000E-1,1.268247142E-4,-4.501021653E-2,1.368178148E-2,4.704388187E-2
7.230525000E-1,2.500421181E-2,-5.877209827E-2,1.360960957E-2,6.530384075E-2
7.330905000E-1,4.660850391E-2,-7.188820839E-2,1.395808812E-2,8.680492708E-2
7.431275000E-1,6.434807926E-2,-7.635752857E-2,1.099372283E-2,1.004589937E-1
7.531655000E-1,7.225450128E-2,-7.737049460E-2,1.001931634E-2,1.063357564E-1
7.632035000E-1,7.445932925E-2,-6.956210732E-2,6.505008787E-3,1.021048169E-1
7.732405000E-1,6.852778792E-2,-6.033882126E-2,3.489302704E-3,9.137289698E-2
7.832785000E-1,5.432808399E-2,-4.574469477E-2,-1.688681310E-3,7.104202597E-2
7.933165000E-1,3.350552917E-2,-2.512023598E-2,-4.185941536E-3,4.208525688E-2
8.033535000E-1,1.096639968E-2,-4.576078150E-3,-7.828880101E-3,1.423003081E-2
8.133915000E-1,-1.347502880E-2,1.743707806E-2,-1.029896177E-2,2.432481667E-2
8.234285000E-1,-3.664932400E-2,3.901614249E-2,-1.390488073E-2,5.530622056E-2
8.334665000E-1,-5.631267652E-2,5.255497620E-2,-1.434002724E-2,7.835036337E-2
8.435045000E-1,-6.839357316E-2,6.642844528E-2,-1.526068244E-2,9.655727638E-2
8.535415000E-1,-7.556013763E-2,7.534124702E-2,-1.200949587E-2,1.073772131E-1
8.635795000E-1,-7.275503129E-2,7.486853749E-2,-1.136554312E-2,1.050131804E-1
8.736175000E-1,-6.096357480E-2,7.307936996E-2,-9.123074822E-3,9.560534640E-2
8.836545000E-1,-4.345835000E-2,6.135373190E-2,-5.073206034E-3,7.535679148E-2
8.936925000E-1,-2.013765089E-2,5.030903220E-2,-3.587025683E-3,5.430829088E-2
9.037305000E-1,4.661970772E-3,3.153587133E-2,1.540358178E-3,3.191579319E-2
9.137675000E-1,2.939605527E-2,1.131785102E-2,4.916937090E-3,3.188099884E-2
9.238055000E-1,5.516932905E-2,-9.317919612E-3,5.788589828E-3,5.624932236E-2
9.338425000E-1,7.368626446E-2,-2.963097207E-2,7.440289482E-3,7.976852752E-2
9.438805000E-1,8.776906133E-2,-4.634257406E-2,1.056391094E-2,9.981301774E-2
9.539185000E-1,9.130590409E-2,-5.933119729E-2,9.357217699E-3,1.092909723E-1
9.639555000E-1,8.703818917E-2,-6.952790916E-2,9.443504736E-3,1.117987312E-1
9.739935000E-1,7.724765688E-2,-7.198609412E-2,6.539521739E-3,1.057920771E-1
