"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.930815417E-1,2.576268278E-2,-2.464307472E-2,2.935244935E-3,3.577167341E-2
6.031200000E-1,3.050597571E-2,-1.498327311E-2,-2.523937263E-3,3.408054117E-2
6.131580000E-1,2.839701809E-2,-2.804904245E-3,-8.794349618E-3,2.985965019E-2
6.231950000E-1,2.455019578E-2,9.555729106E-3,-1.183773484E-2,2.888175961E-2
6.332330000E-1,1.703502238E-2,2.269363403E-2,-1.565777138E-2,3.240923969E-2
6.432710000E-1,9.100627154E-3,3.409371898E-2,-1.864295825E-2,3.990943473E-2
6.533090000E-1,-5.597230047E-4,4.092552885E-2,-2.147949114E-2,4.622316239E-2
6.633460000E-1,-9.763633832E-3,4.631501064E-2,-2.251771092E-2,5.241618129E-2
6.733840000E-1,-1.553656813E-2,5.051214993E-2,-2.276671678E-2,5.754290254E-2
6.834220000E-1,-1.950728893E-2,4.797957093E-2,-2.234210074E-2,5.640694118E-2
6.934600000E-1,-1.842817664E-2,4.283860698E-2,-1.786080003E-2,4.993748212E-2
7.034980000E-1,-1.593670249E-2,3.537524119E-2,-1.569862477E-2,4.185490408E-2
7.135360000E-1,-9.368549101E-3,2.420567721E-2,-1.290896349E-2,2.898837456E-2
7.235730000E-1,-4.023087211E-3,1.161712408E-2,-6.777680479E-3,1.403850972E-2
7.336110000E-1,1.252634451E-3,-2.756489906E-3,-3.735772334E-4,3.050719525E-3
7.436490000E-1,3.083950840E-3,-1.532897167E-2,6.733803079E-3,1.702445973E-2
7.536870000E-1,5.932201631E-3,-2.674727514E-2,1.205613092E-2,2.993255813E-2
7.637250000E-1,6.527494639E-3,-3.763113543E-2,1.600196585E-2,4.140982313E-2
7.737620000E-1,7.232699543E-3,-4.463737831E-2,1.973385364E-2,4.933794143E-2
7.838000000E-1,8.390373550E-3,-5.099466071E-2,2.288816683E-2,5.652187160E-2
7.938380000E-1,1.049746666E-2,-5.143674463E-2,2.343411371E-2,5.748993990E-2
8.038760000E-1,1.241476554E-2,-4.871692881E-2,2.194343321E-2,5.485416864E-2
8.139140000E-1,1.344647538E-2,-4.370033368E-2,1.703522727E-2,4.879268216E-2
8.239510000E-1,1.589545421E-2,-3.699845821E-2,1.155946683E-2,4.189478067E-2
8.339890000E-1,1.582701132E-2,-2.443845570E-2,7.376173511E-3,3.003565115E-2
8.440270000E-1,1.530534960E-2,-1.267576776E-2,-3.356337547E-4,1.987565005E-2
8.540650000E-1,1.680018194E-2,-8.681118488E-4,-3.990023397E-3,1.728930358E-2
8.641030000E-1,1.235677302E-2,1.235527825E-2,-8.018292487E-3,1.922591362E-2
8.741400000E-1,5.746540148E-3,2.250192128E-2,-1.430974342E-2,2.727870858E-2
8.841780000E-1,-7.712747902E-6,3.284335136E-2,-1.784184575E-2,3.737669392E-2
8.942160000E-1,-6.185181439E-3,3.936676309E-2,-1.834411919E-2,4.386918297E-2
9.042540000E-1,-1.176251285E-2,4.298998043E-2,-1.862294972E-2,4.830434123E-2
9.142910000E-1,-1.214600913E-2,4.387414828E-2,-1.642024890E-2,4.839515470E-2
9.243290000E-1,-1.124778762E-2,4.145225510E-2,-1.472058799E-2,4.540372110E-2
9.343670000E-1,-7.189929485E-3,3.652753681E-2,-5.043725483E-3,3.756854001E-2
9.444050000E-1,-9.512959514E-4,2.956615388E-2,6.688608788E-3,3.032820316E-2
9.544430000E-1,2.118263394E-3,1.952363923E-2,1.527144480E-2,2.487722965E-2
9.644810000E-1,7.512755692E-4,9.218735620E-3,2.303628437E-2,2.482377689E-2
9.745180000E-1,3.541773185E-5,-3.690938465E-3,2.506135218E-2,2.533171242E-2
9.845560000E-1,9.679044597E-4,-1.603591815E-2,2.426647395E-2,2.910239282E-2
9.945940000E-1,2.098416444E-3,-2.839484811E-2,2.195964381E-2,3.595687288E-2
1.004632000E0,3.821684513E-3,-3.678355739E-2,1.906774938E-2,4.160786504E-2
1.014670000E0,4.505584016E-3,-4.647346959E-2,1.334914286E-2,4.856215891E-2
1.024707000E0,5.949854851E-3,-5.223404616E-2,8.570414037E-3,5.326582721E-2
1.034745000E0,8.667344227E-3,-5.272753164E-2,1.250183675E-3,5.344977463E-2
1.044783000E0,9.293440729E-3,-5.045631528E-2,-4.191313870E-3,5.147596433E-2
1.054821000E0,7.585821673E-3,-4.579951242E-2,-1.381091774E-2,4.843430062E-2
