"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.842202917E-1,-1.154452880E-1,1.665131518E-1,-3.292040884E-2,2.052754188E-1
5.942582917E-1,-1.312423450E-1,1.641299364E-1,-5.419374883E-2,2.170256933E-1
6.042972917E-1,-1.485639357E-1,1.489753421E-1,-8.713403821E-2,2.277218394E-1
6.143352917E-1,-1.351537486E-1,1.283092355E-1,-9.641590834E-2,2.098233139E-1
6.243742917E-1,-1.563442226E-1,1.004510353E-1,-1.193141896E-1,2.208388604E-1
6.344122917E-1,-1.824096116E-1,8.426762346E-2,-1.369698572E-1,2.431769737E-1
6.444502917E-1,-1.826155249E-1,5.220083501E-2,-1.456436169E-1,2.393437283E-1
6.544892917E-1,-1.826815254E-1,2.331685049E-2,-1.353010619E-1,2.285226303E-1
6.645272917E-1,-1.797691186E-1,6.776118949E-3,-1.370786154E-1,2.261711710E-1
6.745662917E-1,-1.869357585E-1,-1.457805879E-2,-1.289772981E-1,2.275799663E-1
6.846042917E-1,-1.674050350E-1,-5.376191368E-2,-9.572184384E-2,2.001935575E-1
6.946422917E-1,-1.633875227E-1,-6.630634742E-2,-8.820934117E-2,1.971621215E-1
7.046812917E-1,-1.464303598E-1,-8.552336784E-2,-6.587648571E-2,1.819225332E-1
7.147192917E-1,-1.332651345E-1,-9.270446129E-2,-4.698705554E-2,1.690014692E-1
7.247582917E-1,-1.086236704E-1,-1.064033729E-1,-3.723331511E-2,1.565474346E-1
7.347962917E-1,-8.632204268E-2,-1.304400157E-1,-1.685869217E-2,1.573223069E-1
7.448342917E-1,-5.604874145E-2,-1.338654973E-1,-7.570390105E-3,1.453228943E-1
7.548732917E-1,-2.842313256E-2,-1.262080934E-1,2.081608772E-4,1.293692414E-1
7.649112917E-1,-1.488587815E-2,-1.122151947E-1,-8.188440800E-3,1.134940080E-1
7.749502917E-1,1.898114009E-2,-1.137638297E-1,-1.284925640E-2,1.160499721E-1
7.849882917E-1,2.752419624E-2,-9.798504520E-2,-9.136274457E-3,1.021867015E-1
7.950272917E-1,3.619525161E-2,-1.073458162E-1,-1.530567169E-2,1.143130967E-1
8.050652917E-1,4.258761048E-2,-8.161877995E-2,-1.414441466E-2,9.314179660E-2
8.151032917E-1,5.161194731E-2,-6.290206192E-2,-3.648604095E-2,8.917226970E-2
8.251422917E-1,6.255661938E-2,-5.863909453E-2,-3.846824706E-2,9.397701883E-2
8.351802917E-1,5.457374476E-2,-4.042823374E-2,-2.368356228E-2,7.192806700E-2
8.452192917E-1,3.963083798E-2,-2.903001873E-2,-2.206622243E-2,5.385409435E-2
8.552572917E-1,2.183684712E-2,-6.109974906E-4,-2.134233713E-2,3.054040871E-2
8.652952917E-1,2.679018795E-2,3.768000584E-3,-2.502608299E-4,2.705502965E-2
8.753342917E-1,7.564469799E-4,1.526759170E-2,1.606522501E-2,2.217573049E-2
8.853722917E-1,-1.887506794E-2,3.017890524E-2,2.596163750E-2,4.405724836E-2
