"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.834552917E-1,-1.159296278E-2,1.230704412E-2,-3.352476284E-3,1.723656631E-2
5.934932917E-1,-9.408207610E-3,7.846996188E-3,-1.932351268E-3,1.240256832E-2
6.035302917E-1,-4.607327282E-3,3.579813521E-3,-9.832006181E-4,5.916858372E-3
6.135682917E-1,8.399598300E-6,-1.416366547E-3,1.195685472E-3,1.853598797E-3
6.236062917E-1,4.267859738E-3,-7.129113190E-3,-9.644043166E-4,8.364744904E-3
6.336442917E-1,9.273701347E-3,-9.242916480E-3,1.546551241E-3,1.318426572E-2
6.436812917E-1,9.639087133E-3,-1.311275549E-2,9.374380112E-3,1.878125022E-2
6.537192917E-1,1.180803403E-2,-1.245101355E-2,1.709364541E-2,2.422086125E-2
6.637572917E-1,1.290152781E-2,-1.382893324E-2,1.766728982E-2,2.588091853E-2
6.737952917E-1,9.577799588E-3,-1.236930862E-2,1.851057447E-2,2.423582902E-2
6.838322917E-1,8.560473099E-3,-1.189127006E-2,1.497149933E-2,2.094826474E-2
6.938702917E-1,6.264963653E-3,-1.244797930E-2,9.487171657E-3,1.685848108E-2
7.039082917E-1,9.974977002E-4,-7.871069945E-3,4.687622190E-3,9.215342942E-3
7.139462917E-1,-3.406972392E-3,-6.589787081E-3,-7.050741697E-4,7.451837641E-3
7.239832917E-1,-9.052075446E-3,-3.552718088E-3,-7.446600124E-3,1.224800919E-2
7.340212917E-1,-1.218248717E-2,6.694211625E-4,-1.102875639E-2,1.644671961E-2
7.440592917E-1,-1.381420530E-2,2.740561496E-3,-1.520246174E-2,2.072336335E-2
7.540972917E-1,-1.443082746E-2,5.713057704E-3,-1.780838147E-2,2.362257945E-2
7.641342917E-1,-1.585455239E-2,8.973033167E-3,-1.817429811E-2,2.573299958E-2
7.741722917E-1,-1.422190107E-2,1.049964130E-2,-1.862912625E-2,2.568169158E-2
7.842102917E-1,-9.259101003E-3,1.146610267E-2,-1.820568368E-2,2.342326579E-2
7.942482917E-1,-5.180902779E-3,1.072666608E-2,-1.669006422E-2,2.050515453E-2
8.042852917E-1,-3.675052430E-4,1.055542566E-2,-1.143831015E-2,1.556878319E-2
8.143232917E-1,1.971181482E-3,9.331530891E-3,-8.719872683E-3,1.292281722E-2
8.243612917E-1,8.568364196E-3,7.672115229E-3,-2.554388717E-3,1.178147354E-2
8.343992917E-1,1.169807836E-2,4.196245223E-3,1.092355000E-3,1.247584670E-2
8.444362917E-1,1.425897330E-2,9.850058705E-4,6.846114993E-3,1.584796033E-2
8.544742917E-1,1.645901054E-2,-1.484010834E-3,1.079904474E-2,1.974134452E-2
8.645122917E-1,1.627312228E-2,-3.787378781E-3,1.490483992E-2,2.239002009E-2
8.745502917E-1,1.232578419E-2,-7.327447180E-3,1.672711782E-2,2.203208816E-2
8.845872917E-1,1.165147126E-2,-9.296854958E-3,1.782753691E-2,2.323810162E-2
8.946252917E-1,7.547941990E-3,-9.446632117E-3,1.811720617E-2,2.178172275E-2
9.046632917E-1,2.753186971E-3,-1.236812025E-2,1.587668806E-2,2.031304165E-2
9.147012917E-1,-2.692778595E-3,-1.205141470E-2,1.500148140E-2,1.943018520E-2
9.247382917E-1,-7.178341039E-3,-1.162743941E-2,1.097504795E-2,1.752648295E-2
9.347762917E-1,-1.144096442E-2,-9.095661342E-3,7.154666819E-3,1.627316746E-2
9.448142917E-1,-1.354459580E-2,-7.594970055E-3,6.973000709E-4,1.554431964E-2
9.548522917E-1,-1.384226792E-2,-4.255493637E-3,-2.891360084E-3,1.476744969E-2
9.648892917E-1,-1.404173858E-2,-1.883681864E-3,-7.861351594E-3,1.620245440E-2
9.749272917E-1,-1.145241410E-2,9.224726819E-4,-1.310987864E-2,1.743208715E-2
9.849652917E-1,-7.329307497E-3,3.129434306E-3,-1.583296061E-2,1.772553946E-2
9.950032917E-1,-3.768794239E-3,6.004013587E-3,-1.739697345E-2,1.878581045E-2
1.005040125E0,1.440082677E-3,9.781174362E-3,-1.801775582E-2,2.055200075E-2
1.015078125E0,6.706748158E-3,9.619666263E-3,-1.809150539E-2,2.155970819E-2
1.025116125E0,1.145489793E-2,1.225965843E-2,-1.704914495E-2,2.392043593E-2
1.035154125E0,1.283814386E-2,1.262957137E-2,-1.479025185E-2,2.330398164E-2
1.045191125E0,1.623260975E-2,1.285807043E-2,-1.054969989E-2,2.324056286E-2
1.055229125E0,1.682210155E-2,9.923350997E-3,-4.797497299E-3,2.011148865E-2
1.065267125E0,1.336984523E-2,9.626675397E-3,-1.756966347E-3,1.656842091E-2
1.075305125E0,1.133775339E-2,8.255628869E-3,3.742056666E-3,1.451561394E-2
1.085342125E0,7.184021641E-3,5.309639964E-3,6.768207066E-3,1.120763447E-2
1.095380125E0,3.595543094E-3,1.908892533E-3,1.146477275E-2,1.216605174E-2
1.105418125E0,-3.016819246E-3,-3.992691636E-4,1.802866720E-2,1.828369369E-2
1.115456125E0,-8.107718080E-3,-4.753004760E-3,1.647417992E-2,1.896641112E-2
1.125493125E0,-1.233122498E-2,-7.262501866E-3,1.820496842E-2,2.315650919E-2
1.135531125E0,-1.674374938E-2,-1.069164276E-2,1.853395998E-2,2.716932169E-2
1.145569125E0,-1.843831874E-2,-1.128446311E-2,1.735338010E-2,2.772093986E-2
1.155607125E0,-1.956806332E-2,-1.343560405E-2,1.387524698E-2,2.749449103E-2
1.165644125E0,-1.925833896E-2,-1.630995423E-2,1.250318531E-2,2.816430133E-2
1.175682125E0,-1.576510444E-2,-1.559127215E-2,5.779989529E-3,2.291363272E-2
1.185720125E0,-1.103053708E-2,-1.457048114E-2,2.407894935E-3,1.843284099E-2
1.195758125E0,-6.230854429E-3,-1.298886724E-2,-1.794778043E-3,1.451741875E-2
1.205795125E0,-2.278456930E-3,-9.906790219E-3,-7.051591761E-3,1.237177452E-2
1.215833125E0,3.916190006E-3,-6.510303821E-3,-1.045466028E-2,1.292364196E-2
1.225871125E0,1.010191347E-2,-3.118236084E-3,-1.343021076E-2,1.709217989E-2
1.235909125E0,1.433251146E-2,3.127358155E-3,-1.602133736E-2,2.172290277E-2
1.245946125E0,1.572241634E-2,4.815802444E-3,-1.811431535E-2,2.446456109E-2
1.255984125E0,1.639845967E-2,9.695136920E-3,-1.695272699E-2,2.550098257E-2
1.266022125E0,1.801286824E-2,1.356337871E-2,-1.498704869E-2,2.707471686E-2
1.276060125E0,1.501617860E-2,1.432925183E-2,-1.361699030E-2,2.482409117E-2
1.286097125E0,1.176898647E-2,1.724088565E-2,-1.013890188E-2,2.320677728E-2
1.296135125E0,7.633860223E-3,1.795484684E-2,-5.589326844E-3,2.029514527E-2
1.306173125E0,2.720328514E-3,1.614336483E-2,-2.914448036E-3,1.662836200E-2
1.316211125E0,-1.959109912E-3,1.651187241E-2,1.599466661E-3,1.670444060E-2
1.326248125E0,-6.393805612E-3,1.215946861E-2,5.640015006E-3,1.485069683E-2
1.336286125E0,-1.100187376E-2,8.455544710E-3,9.915986098E-3,1.705474253E-2
1.346324125E0,-1.300403755E-2,4.243488889E-3,1.260817517E-2,1.860317907E-2
1.356362125E0,-1.357392222E-2,-2.840606961E-3,1.469761506E-2,2.020743182E-2
1.366399125E0,-1.405622065E-2,-7.705403026E-3,1.351011172E-2,2.096362787E-2
1.376437125E0,-1.073296182E-2,-1.246406324E-2,1.490292884E-2,2.219564439E-2
1.386475125E0,-7.681778632E-3,-1.588968746E-2,1.243337989E-2,2.158890516E-2
1.396512125E0,-4.021033179E-3,-2.022774518E-2,1.114637032E-2,2.344295105E-2
1.406550125E0,2.458704170E-3,-2.098807693E-2,8.466431871E-3,2.276455727E-2
1.416588125E0,4.772129469E-3,-2.069609240E-2,6.721540354E-3,2.227735543E-2
1.426626125E0,8.244092576E-3,-2.088118158E-2,2.436247421E-3,2.258149925E-2
1.436663125E0,1.415088121E-2,-1.660925522E-2,-2.567438176E-3,2.197058344E-2
1.446701125E0,1.447765250E-2,-1.167867891E-2,-6.419167854E-3,1.967739004E-2
1.456739125E0,1.372108236E-2,-7.506418042E-3,-1.072295476E-2,1.896302116E-2
1.466777125E0,1.360630058E-2,-6.727464497E-4,-1.148035750E-2,1.781523538E-2
1.476814125E0,1.129301265E-2,4.998582881E-3,-1.392375585E-2,1.861152714E-2
1.486852125E0,6.604518276E-3,1.226874627E-2,-1.367501635E-2,1.952300871E-2
1.496890125E0,8.918042295E-4,1.818247326E-2,-1.365245692E-2,2.275493855E-2
1.506928125E0,-2.377226017E-3,2.162913792E-2,-1.346656773E-2,2.558943644E-2
1.516965125E0,-6.303426344E-3,2.405733615E-2,-1.038806140E-2,2.695181675E-2
1.527003125E0,-1.192695647E-2,2.645790949E-2,-8.605341427E-3,3.027086333E-2
1.537041125E0,-1.418361813E-2,2.457769774E-2,-6.951523479E-3,2.921578217E-2
1.547079125E0,-1.472051069E-2,2.300483547E-2,-5.125327734E-4,2.731626951E-2
1.557116125E0,-1.495224237E-2,1.744257100E-2,2.523669973E-3,2.311237212E-2
1.567154125E0,-1.353410818E-2,1.122515462E-2,6.447571330E-3,1.872825023E-2
1.577192125E0,-1.280776225E-2,2.559499349E-3,9.490270168E-3,1.614481461E-2
1.587230125E0,-9.072147310E-3,-3.517834470E-3,1.295610704E-2,1.620307766E-2
1.597267125E0,-4.414514173E-3,-1.099273656E-2,1.455980539E-2,1.877008592E-2
1.607305125E0,5.679936148E-4,-1.954814419E-2,1.477685384E-2,2.451138445E-2
1.617343125E0,4.124282394E-3,-2.401726879E-2,1.562622376E-2,2.894853665E-2
1.627381125E0,6.381045561E-3,-2.703169920E-2,1.406720839E-2,3.113385385E-2
1.637418125E0,8.837044239E-3,-2.833773009E-2,1.123926509E-2,3.174021704E-2
