"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.795757917E-1,-2.385119442E-3,-3.294501826E-2,-1.164588705E-2,3.502413037E-2
5.896137917E-1,6.428947672E-4,-2.412089892E-2,-1.687979698E-2,2.944755719E-2
5.996517917E-1,1.162629109E-3,-1.627622731E-2,-2.299830690E-2,2.819910286E-2
6.096887917E-1,5.570427049E-3,-4.733553622E-3,-2.572059073E-2,2.673920296E-2
6.197267917E-1,6.717636250E-3,5.841812585E-3,-2.634976059E-2,2.781300585E-2
6.297647917E-1,8.991442621E-3,1.705718227E-2,-2.537930571E-2,3.187322804E-2
6.398017917E-1,8.853936568E-3,2.571262419E-2,-2.337486297E-2,3.585966333E-2
6.498397917E-1,9.792966768E-3,3.557164967E-2,-1.897132583E-2,4.148681311E-2
6.598777917E-1,7.662508171E-3,4.038027301E-2,-1.330761146E-2,4.320153936E-2
6.699147917E-1,5.567399319E-3,4.355049878E-2,-7.354646921E-3,4.451665655E-2
6.799527917E-1,4.891298711E-3,4.271993041E-2,2.465031575E-4,4.299974443E-2
6.899907917E-1,9.759189561E-4,3.968605399E-2,6.184552796E-3,4.017690870E-2
7.000277917E-1,-2.747602761E-3,3.360993788E-2,1.232544798E-2,3.590395400E-2
7.100663750E-1,-5.115685519E-3,2.470778860E-2,1.767813601E-2,3.080846553E-2
7.201043750E-1,-6.917393301E-3,1.447531953E-2,1.994719170E-2,2.559835273E-2
7.301413750E-1,-9.985354729E-3,1.125426032E-3,2.199249901E-2,2.417941078E-2
7.401793750E-1,-1.181841269E-2,-9.265405126E-3,2.477585897E-2,2.897181041E-2
7.502173750E-1,-1.098324452E-2,-2.154577151E-2,2.365520224E-2,3.382928499E-2
7.602543750E-1,-1.124614105E-2,-3.305533901E-2,2.330480330E-2,4.197910173E-2
7.702923750E-1,-1.145306882E-2,-4.059501365E-2,1.822642051E-2,4.594921461E-2
7.803303750E-1,-9.344519116E-3,-4.534985870E-2,1.218802854E-2,4.787982625E-2
7.903673750E-1,-8.415341377E-3,-4.892887920E-2,6.493657827E-3,5.007015860E-2
8.004053750E-1,-5.559141748E-3,-4.812899977E-2,1.889492851E-4,4.844935890E-2
8.104433750E-1,-3.422753885E-3,-4.340961203E-2,-5.508084781E-3,4.389132783E-2
8.204803750E-1,2.993270755E-5,-3.583282605E-2,-9.983527474E-3,3.719762277E-2
8.305183750E-1,3.177523147E-3,-2.629977465E-2,-1.587124355E-2,3.088156686E-2
8.405563750E-1,5.055040121E-3,-1.423807815E-2,-1.956627704E-2,2.472075034E-2
8.505933750E-1,6.844418123E-3,-1.793393400E-3,-2.241932042E-2,2.350932256E-2
8.606313750E-1,7.826931775E-3,1.205876749E-2,-2.267696708E-2,2.684994545E-2
8.706693750E-1,7.980596274E-3,2.503422089E-2,-2.177974954E-2,3.412857487E-2
8.807063750E-1,1.024259627E-2,3.429449350E-2,-1.945510320E-2,4.073725694E-2
8.907443750E-1,9.365084581E-3,4.337560758E-2,-1.677090488E-2,4.743850116E-2
9.007823750E-1,7.715314627E-3,4.928009212E-2,-1.150070038E-2,5.118905809E-2
9.108193750E-1,5.989586003E-3,5.094616860E-2,-5.439612083E-3,5.158465484E-2
9.208573750E-1,4.263950977E-3,4.757387936E-2,1.138158608E-3,4.777814019E-2
9.308953750E-1,2.699077129E-3,4.378926009E-2,4.671107978E-3,4.412033053E-2
9.409323750E-1,5.192696117E-4,3.501118720E-2,1.123377308E-2,3.677295919E-2
9.509703750E-1,1.284759492E-6,2.290312573E-2,1.568791084E-2,2.776083062E-2
9.610083750E-1,-1.217296114E-3,9.813735262E-3,1.831658185E-2,2.081558023E-2
9.710453750E-1,-1.164299203E-3,-3.205127548E-3,1.922472008E-2,1.952481235E-2
9.810833750E-1,-1.858443953E-3,-1.640611142E-2,2.052801289E-2,2.634413823E-2
9.911213750E-1,-2.295202343E-3,-2.897543088E-2,1.751145162E-2,3.393367775E-2
1.001158375E0,-9.751883335E-4,-4.057157040E-2,1.619408838E-2,4.369498616E-2
1.011196375E0,6.099250168E-4,-4.888569191E-2,1.133115590E-2,5.018543590E-2
1.021234375E0,-9.559423197E-4,-5.280424654E-2,8.180074394E-3,5.344264118E-2
1.031271375E0,-4.813668784E-4,-5.293367803E-2,4.157369956E-3,5.309886730E-2
1.041309375E0,2.903977409E-3,-4.969764128E-2,-1.290643588E-3,4.979914050E-2
1.051347375E0,-1.954094041E-4,-4.234332219E-2,-5.951974541E-3,4.276004116E-2
1.061384375E0,1.337705180E-5,-3.326944634E-2,-9.703288786E-3,3.465559193E-2
1.071422375E0,7.092612796E-4,-1.986549236E-2,-1.257444359E-2,2.352142576E-2
1.081460375E0,-2.727883402E-4,-6.188868079E-3,-1.613716036E-2,1.728538244E-2
1.091497375E0,-3.942283802E-4,7.105099503E-3,-1.658510417E-2,1.804725838E-2
1.101535375E0,-5.157326814E-4,2.106036246E-2,-1.777632162E-2,2.756451446E-2
1.111573375E0,-1.778603531E-3,3.350531310E-2,-1.581383683E-2,3.709240989E-2
1.121610375E0,-2.083774423E-3,4.427657276E-2,-1.379245427E-2,4.642185699E-2
1.131648375E0,-3.014549147E-3,5.014591664E-2,-1.037908066E-2,5.129742467E-2
1.141686375E0,-3.754747100E-3,5.396497622E-2,-7.708463352E-3,5.464189960E-2
1.151723375E0,-4.058879800E-3,5.428109318E-2,-2.388000255E-3,5.448498993E-2
1.161761375E0,-4.040362313E-3,4.717075825E-2,1.713741105E-3,4.737448543E-2
1.171799375E0,-4.020122346E-3,3.987795860E-2,6.130594295E-3,4.054623474E-2
1.181836375E0,-2.319818363E-3,2.728071436E-2,1.043393649E-2,2.929993113E-2
1.191874375E0,-2.741130302E-3,1.540621184E-2,1.335276105E-2,2.057088686E-2
1.201912375E0,-5.803979002E-5,-2.405741252E-4,1.610467955E-2,1.610658089E-2
1.211949375E0,-3.653685562E-4,-1.298273541E-2,1.728312857E-2,2.161923787E-2
1.221987375E0,-4.990417510E-4,-2.742817439E-2,1.639671065E-2,3.195944169E-2
1.232025375E0,-1.908652717E-3,-3.951360285E-2,1.549043786E-2,4.248436690E-2
1.242062375E0,-1.165810274E-3,-5.071981996E-2,1.285269484E-2,5.233594382E-2
1.252100375E0,-6.233244203E-4,-5.523600802E-2,9.081924334E-3,5.598112597E-2
1.262138375E0,-8.685586508E-4,-5.749471858E-2,6.017617881E-3,5.781529887E-2
1.272175375E0,-9.806777816E-4,-5.503502488E-2,2.323280554E-3,5.509277017E-2
1.282213375E0,-2.544219606E-3,-5.060911551E-2,-2.674407326E-3,5.074355211E-2
1.292251375E0,-2.029164229E-3,-3.821423277E-2,-6.298436783E-3,3.878292665E-2
1.302288375E0,-1.233331161E-3,-2.556765825E-2,-9.174076840E-3,2.719172558E-2
1.312326375E0,1.166253351E-4,-1.050348766E-2,-1.430439111E-2,1.774690000E-2
1.322364375E0,-1.052269479E-3,4.442574922E-3,-1.281189360E-2,1.360104263E-2
1.332401375E0,2.310770564E-3,1.970674843E-2,-1.548144687E-2,2.516685899E-2
1.342439375E0,2.942381892E-3,3.305444121E-2,-1.555258222E-2,3.664882684E-2
1.352477375E0,6.115005817E-3,4.653828964E-2,-1.464044861E-2,4.916857161E-2
1.362514375E0,5.453421269E-3,5.309451744E-2,-1.464266796E-2,5.534596020E-2
1.372552375E0,9.379720315E-3,5.723413453E-2,-9.543513879E-3,5.877758046E-2
1.382590375E0,8.329310454E-3,5.892045796E-2,-7.504938170E-3,5.997767815E-2
1.392627375E0,9.619877674E-3,5.362289771E-2,-4.548030440E-3,5.466847160E-2
1.402665375E0,9.957034141E-3,4.621611536E-2,-6.779247196E-4,4.728140680E-2
1.412703375E0,1.066703349E-2,3.607080132E-2,2.481649397E-3,3.769677566E-2
1.422740375E0,8.723289706E-3,2.379588410E-2,7.249521092E-3,2.636086948E-2
1.432778375E0,7.977338508E-3,7.801737171E-3,9.132908657E-3,1.441925980E-2
1.442816375E0,3.806082532E-3,-8.212441579E-3,1.180121861E-2,1.487276779E-2
1.452853375E0,3.133368213E-3,-2.460792661E-2,1.188484207E-2,2.750668136E-2
1.462891375E0,-3.998212051E-4,-3.858143091E-2,1.279994845E-2,4.065126503E-2
1.472929375E0,-5.017742515E-3,-4.791793972E-2,1.102202199E-2,4.942460578E-2
1.482966375E0,-5.537237041E-3,-5.641039461E-2,9.587761946E-3,5.748668362E-2
1.493004375E0,-9.186033159E-3,-5.840510502E-2,7.703841664E-3,5.962288717E-2
1.503042375E0,-1.024664566E-2,-5.868104100E-2,7.591782138E-3,6.005075750E-2
1.513079375E0,-1.310288627E-2,-5.409907550E-2,5.263913423E-3,5.591157646E-2
1.523117375E0,-1.436448842E-2,-4.463712499E-2,2.359394450E-3,4.695080614E-2
1.533155375E0,-1.303397305E-2,-3.194929659E-2,-2.928844420E-3,3.462975795E-2
1.543192375E0,-1.282556355E-2,-1.814976707E-2,-4.666096531E-3,2.270862351E-2
1.553230375E0,-1.008224208E-2,-3.706912510E-3,-8.489597589E-3,1.369182504E-2
1.563268375E0,-6.941592321E-3,1.274815015E-2,-9.196814150E-3,1.718378383E-2
1.573305375E0,-3.454715479E-3,2.632760815E-2,-9.580842219E-3,2.822889562E-2
1.583343375E0,-4.596537910E-4,3.938963264E-2,-1.009139977E-2,4.066436758E-2
1.593381375E0,2.789935097E-3,4.787419736E-2,-1.082536764E-2,4.916209003E-2
1.603418375E0,7.043340243E-3,5.547141656E-2,-1.057053171E-2,5.690714224E-2
1.613456375E0,7.097935304E-3,5.608953908E-2,-8.732152171E-3,5.720723347E-2
1.623494375E0,9.374653921E-3,5.582394078E-2,-5.935715046E-3,5.691598382E-2
1.633531375E0,1.112408563E-2,4.960546270E-2,-2.355094999E-3,5.089198054E-2
1.643569375E0,1.015837863E-2,3.966343403E-2,-8.045290597E-4,4.095153138E-2
1.653607375E0,8.978332393E-3,2.793993056E-2,1.727604540E-3,2.939787049E-2
1.663644375E0,5.146283191E-3,1.296460629E-2,3.604822792E-3,1.440694257E-2
1.673682375E0,4.495938774E-3,-7.626577280E-4,7.372663356E-3,8.668983633E-3
